"nu, hz","U,V","I,mA","nu_sq, kHz^2",1/xi^2,dnu_sq,d1/xi^2,delta_phi,delta_phi_ed,psi,tan(psi),dtan,dnu
115,0.6933,383.82,0.013225,4053.2975,5.29e-5,14.041034,5.6,1,-2.4755750,0.78579259,0.014032011,0.23
135,0.7474,372.84,0.018225,4535.3034,7.29e-5,15.710752,4.7,1,-2.4158848,0.88721743,0.018876967,0.27
155,0.7891,363.29,0.024025,5092.2087,9.61e-5,17.639928,4.1,1,-2.4221679,0.87605066,0.021367089,0.31
175,0.8208,355.14,0.030625,5733.2461,1.225e-4,19.860547,7.1,0.5,-2.3326325,1.0482703,0.014764370,0.35
195,0.8456,348.17,0.038025,6446.4700,1.521e-4,22.331227,6.1,0.5,-2.1661281,1.4764388,0.024203915,0.39
215,0.8647,342.18,0.046225,7238.6111,1.849e-4,25.075284,5.5,0.5,-2.1441370,1.5487264,0.028158662,0.43
240,0.8829,335.85,0.0576,8334.7035,2.304e-4,28.872260,4.9,0.5,-2.1237166,1.6204030,0.033069449,0.48
330,0.9159,320.13,0.1089,13304.070,4.356e-4,46.086650,3.5,0.5,-2.0577432,1.8886713,0.053962037,0.66
420,0.9240,309.98,0.1764,19852.81,7.056e-4,68.772151,6.5,0.2,-1.8598229,3.3630064,0.05173856,0.84
510,0.9208,302.07,0.2601,27991.419,1.0404e-3,96.965120,5.3,0.2,-1.8258937,3.8346681,0.072352228,1.02
600,0.9117,295.07,0.36,37709.320,1.44e-3,130.62892,4.5,0.2,-1.8221237,3.8947435,0.086549856,1.2
690,0.8988,283.42,0.4761,47340.522,1.9044e-3,163.99238,3.8,0.2,-1.7241060,6.4715621,0.17030427,1.38
